
Episode 1:
Step 0: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 1: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 2: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 3: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 4: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 5: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 6: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 7: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 8: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 9: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 10: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 11: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 12: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 13: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 14: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 15: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 16: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 17: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 18: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 19: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 20: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 21: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 22: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 23: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 24: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 25: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 26: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 27: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 28: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 29: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 30: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 31: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 32: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 33: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 34: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 35: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 36: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 37: Action: [1], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 38: Action: [0], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 39: Action: [0], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 40: Action: [0], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 41: Action: [0], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 42: Action: [1], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 43: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 44: Action: [0], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 45: Action: [1], Reward: [-75.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 46: Action: [1], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 47: Action: [0], Reward: [-100.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 48: Action: [1], Reward: [-125.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 49: Action: [1], Reward: [-150.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 50: Action: [1], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 51: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 52: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 53: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 54: Action: [0], Reward: [-175.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 55: Action: [1], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 56: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 57: Action: [0], Reward: [-200.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 58: Action: [1], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 59: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 60: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 61: Action: [0], Reward: [-225.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 62: Action: [1], Reward: [-250.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 63: Action: [1], Reward: [-275.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 64: Action: [1], Reward: [-300.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 65: Action: [1], Reward: [-325.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 66: Action: [1], Reward: [-350.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 67: Action: [0], Reward: [-350.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 68: Action: [1], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 69: Action: [0], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 70: Action: [0], Reward: [-375.], Dry Yield: 0.0, Total Irrigation: 0.0
