Day	Month	Year	MinTemp	MaxTemp	Precipitation	ReferenceET
1	1	2000	16.5	24.3	4.3	5.7
2	1	2000	18.3	36.3	9.2	5.5
3	1	2000	5.7	39.7	8.5	5.0
4	1	2000	17.2	28.0	9.3	3.6
5	1	2000	15.1	23.9	8.4	4.7
6	1	2000	15.4	37.0	0.9	3.1
7	1	2000	11.2	20.5	4.5	3.6
8	1	2000	14.5	36.7	5.3	4.1
9	1	2000	11.5	20.8	1.4	5.7
10	1	2000	9.8	26.5	6.3	5.6
11	1	2000	6.4	15.8	1.3	3.1
12	1	2000	16.8	35.0	0.9	5.1
13	1	2000	18.5	32.2	4.4	3.8
14	1	2000	5.9	25.4	1.9	3.7
15	1	2000	9.2	26.2	5.5	4.0
16	1	2000	8.6	28.0	3.0	5.3
17	1	2000	11.5	30.7	9.3	6.0
18	1	2000	15.8	33.7	7.4	3.3
19	1	2000	18.1	32.1	8.8	3.7
20	1	2000	18.0	39.7	3.1	4.4
21	1	2000	6.2	30.2	8.4	3.9
22	1	2000	13.9	31.8	6.9	5.7
23	1	2000	7.2	27.6	9.4	4.0
24	1	2000	15.4	27.7	0.7	6.0
25	1	2000	7.3	25.9	0.8	4.0
26	1	2000	14.4	34.6	4.5	5.0
27	1	2000	17.3	29.9	4.4	4.5
28	1	2000	11.6	29.1	3.2	5.8
29	1	2000	9.1	26.3	6.9	4.8
30	1	2000	12.3	38.8	0.3	5.6
31	1	2000	8.2	18.6	4.2	4.3
1	2	2000	9.6	37.4	0.6	4.4
2	2	2000	11.3	18.4	1.2	3.1
3	2	2000	10.6	31.0	2.3	3.4
4	2	2000	10.6	17.9	4.3	5.0
5	2	2000	15.8	28.6	1.5	4.4
6	2	2000	13.1	26.9	3.3	5.4
7	2	2000	10.0	38.7	5.2	3.3
8	2	2000	8.5	26.5	7.6	4.8
9	2	2000	14.0	19.7	1.7	5.5
10	2	2000	10.4	36.8	5.4	5.2
11	2	2000	12.3	36.2	7.3	4.9
12	2	2000	18.0	27.1	4.7	3.5
13	2	2000	7.5	37.5	4.9	5.9
14	2	2000	13.1	34.5	7.6	5.3
15	2	2000	17.5	31.7	2.6	3.9
16	2	2000	8.5	31.3	8.8	4.2
17	2	2000	13.2	32.3	3.5	6.0
18	2	2000	12.0	34.9	2.1	5.1
19	2	2000	9.5	35.9	8.8	4.8
20	2	2000	17.4	35.5	1.1	3.5
21	2	2000	12.8	23.4	1.6	3.3
22	2	2000	12.8	28.4	9.8	5.9
23	2	2000	9.1	15.6	2.6	4.5
24	2	2000	19.8	33.0	0.9	3.9
25	2	2000	9.7	23.3	0.7	5.0
26	2	2000	13.1	28.3	0.4	3.7
27	2	2000	11.1	31.6	8.1	3.4
28	2	2000	17.8	25.9	3.3	3.9
29	2	2000	9.2	21.9	9.5	3.9
1	3	2000	10.3	17.7	1.7	5.8
2	3	2000	6.5	28.6	0.5	3.2
3	3	2000	12.3	33.9	0.9	4.0
4	3	2000	8.6	35.6	3.0	5.2
5	3	2000	8.7	16.5	1.9	3.4
6	3	2000	13.2	39.6	6.8	4.5
7	3	2000	16.8	23.9	7.6	4.4
8	3	2000	7.8	25.1	2.7	4.0
9	3	2000	15.0	32.4	0.5	5.3
10	3	2000	13.1	23.8	0.8	4.5
11	3	2000	15.2	31.4	6.1	5.5
12	3	2000	10.1	25.4	9.1	5.3
13	3	2000	16.3	25.7	1.0	5.2
14	3	2000	5.2	39.1	9.8	3.8
15	3	2000	19.9	27.1	6.1	3.0
16	3	2000	14.2	27.1	5.4	4.3
17	3	2000	9.8	31.7	3.7	4.1
18	3	2000	10.0	20.3	5.1	3.4
19	3	2000	17.3	35.3	8.6	5.3
20	3	2000	10.2	39.4	5.7	5.4
21	3	2000	9.9	35.9	4.0	4.9
22	3	2000	16.0	30.3	1.9	5.1
23	3	2000	16.2	27.3	0.3	4.2
24	3	2000	15.9	21.7	6.5	3.6
25	3	2000	8.5	20.7	6.3	3.4
26	3	2000	14.5	29.9	6.4	3.8
27	3	2000	15.7	22.1	3.6	5.1
28	3	2000	17.3	25.5	0.5	4.5
