#{"t_start": 1726147402.2825823, "env_id": "None"}
r,l,t
-974.723622,131,73.944056
-711.138537,131,116.915224
-1007.524385,131,162.152975
-1112.270088,131,207.395349
-888.963982,131,252.967666
-933.293196,131,298.857594
-858.296742,131,343.936559
-863.864542,131,389.131965
-1212.930822,131,434.946004
-1161.032324,131,480.023082
-808.298974,131,519.68018
-987.91901,131,520.681076
-1307.485662,131,521.678947
-1013.864542,131,522.677909
-902.134392,131,523.658452
-713.861756,131,524.624113
-1197.380609,131,525.559301
-1238.897769,131,526.51805
-937.240847,131,527.40145
-1019.774307,131,528.321649
-1233.317456,131,529.300876
-1202.393934,131,530.192503
-1088.864542,131,531.10857
-982.638119,131,532.008286
-1225.41113,131,532.94644
-901.843982,131,533.897229
-838.249448,131,534.800651
-1106.824108,131,535.719293
-1197.01243,131,536.658047
-1057.652543,131,537.563556
-850.260554,131,538.492528
-887.931398,131,550.823183
-657.507519,131,551.704761
-557.596523,131,552.603857
-612.303156,131,553.448585
-661.902857,131,554.356323
-713.917998,131,555.299407
-575.754763,131,556.187723
-812.004663,131,557.11906
-825.66752,131,557.991282
-808.29679,131,558.921005
-761.597188,131,559.764357
-813.162015,131,560.634701
-605.233227,131,561.50443
-1161.069818,131,562.380154
-944.709822,131,563.235737
-797.038096,131,564.122108
-772.102962,131,564.980029
-614.096878,131,565.890955
-863.186921,131,566.770084
-819.840581,131,567.639291
-907.605837,131,568.545694
-880.189455,131,569.452103
-557.073382,131,570.33385
-524.448725,131,571.21439
-1005.269433,131,572.057107
-727.588938,131,573.003767
-750.796237,131,573.788202
-919.635935,131,574.717776
-613.864542,131,575.671677
-602.464641,131,576.573294
-736.889034,131,577.517836
-524.65226,131,589.248075
-436.794623,131,590.174047
-763.260963,131,591.109929
-300.349921,131,592.030157
-600.117335,131,592.949376
-333.318533,131,593.855596
-538.864585,131,594.754429
-288.750957,131,595.584297
-372.58343,131,596.441103
-422.180523,131,597.282843
-399.503367,131,598.18528
-402.319518,131,599.075742
-457.50952,131,599.986409
-130.941703,131,600.83016
-375.500649,131,601.693788
-211.893238,131,602.530133
-281.603494,131,603.442318
-538.027161,131,604.351164
-375.349921,131,605.300494
-400.444427,131,606.188082
-350.357291,131,607.080239
-208.080313,131,608.018156
-413.863882,131,608.934881
-472.932872,131,609.832289
-437.292563,131,610.788575
-363.864542,131,611.717313
-281.288301,131,612.657004
-332.690583,131,613.608821
-432.124683,131,614.580385
-588.740861,131,615.53216
-397.093624,131,616.466333
-358.276442,131,628.237481
-251.367242,131,629.158337
-313.168603,131,630.099816
-205.56189,131,631.008681
-161.082117,131,631.909779
-138.847168,131,632.808233
-123.417187,131,633.746919
-274.654893,131,634.675791
-262.453541,131,635.659555
-229.848421,131,636.646917
-162.176503,131,637.566481
-180.884487,131,638.54328
-455.211256,131,639.526642
-370.937039,131,640.511013
-187.123981,131,641.497463
-206.538851,131,642.413762
-206.501808,131,643.399302
-129.854843,131,644.351168
-307.563205,131,645.325811
-81.285904,131,646.257683
-176.493255,131,647.194654
-452.505091,131,648.120627
-220.192351,131,649.061977
-252.33956,131,650.055153
-251.092268,131,651.046552
-151.191711,131,651.939668
-402.074174,131,652.861791
-313.864542,131,653.65922
-196.563191,131,654.456816
-302.208334,131,655.346312
-51.765771,131,656.184523
-387.885328,131,657.00866
-188.177574,131,668.198722
195.783976,131,669.060224
-37.528673,131,669.96849
-350.349921,131,670.818966
-162.372423,131,671.691576
-55.216485,131,672.580252
-60.081864,131,673.455982
-302.58884,131,674.290954
86.641305,131,675.138208
-76.723809,131,676.016913
-111.01021,131,676.876362
80.149147,131,677.734091
-10.417265,131,678.592497
-111.832981,131,679.431337
-48.643345,131,680.379964
-127.278091,131,681.295949
100.663055,131,682.125115
34.729802,131,682.978734
-157.897597,131,683.838116
-200.712941,131,684.731253
52.985779,131,685.640784
121.920605,131,686.52458
-28.125963,131,687.294622
-144.992663,131,688.131878
-157.702825,131,688.954976
-204.917052,131,689.872746
-129.996003,131,690.747751
-258.353645,131,691.592833
6.445378,131,692.464258
159.107334,131,693.324541
24.56012,131,694.242521
86.68906,131,709.914174
121.78137,131,710.823933
15.05494,131,711.745342
143.216295,131,712.673863
-57.325561,131,713.620565
138.059392,131,714.524204
199.168904,131,715.435327
54.985506,131,716.377448
67.907471,131,717.273748
37.318727,131,718.169187
49.586466,131,719.079055
-5.475279,131,719.993033
132.70171,131,720.990298
11.118511,131,721.913649
64.632007,131,722.830604
17.446026,131,723.73268
99.76636,131,724.652841
131.846797,131,725.58553
171.728975,131,726.518105
143.689335,131,727.467157
36.142608,131,728.392322
-38.319949,131,729.333861
186.997556,131,730.295602
62.627218,131,731.364945
35.52873,131,732.326483
117.645889,131,733.263086
-87.979609,131,734.175341
103.129517,131,735.081052
-25.385477,131,735.961829
0.330285,131,736.916361
187.6394,131,737.876959
12.747366,131,750.070236
211.435831,131,751.008443
207.315649,131,751.922605
90.21601,131,752.863143
166.947668,131,753.785505
226.61553,131,754.711851
-63.20754,131,755.657678
168.618598,131,756.556155
60.846035,131,757.445016
186.649915,131,758.39103
103.56114,131,759.249038
-33.225695,131,760.211939
68.360994,131,761.106283
-126.927969,131,762.065561
11.768699,131,763.100861
24.597969,131,764.04949
-57.527608,131,764.988036
-49.466832,131,765.899814
42.176486,131,766.796125
121.69254,131,767.729055
150.893371,131,768.679443
116.769597,131,769.515238
206.276699,131,770.39605
94.457922,131,771.298441
22.251217,131,772.28805
81.739736,131,773.148823
125.566448,131,774.045186
123.535568,131,774.916213
-19.642358,131,775.764023
49.883964,131,776.727278
93.533764,131,777.639221
-37.815159,131,789.938227
100.917495,131,790.902226
138.850494,131,791.765502
207.950895,131,792.678837
130.80414,131,793.873333
186.937009,131,794.905673
216.741862,131,795.90123
188.899869,131,796.912231
174.393059,131,797.894139
160.163185,131,798.839466
89.486167,131,799.771301
125.372274,131,800.736432
187.54052,131,801.714626
210.793742,131,802.683076
11.522872,131,803.64283
209.574984,131,804.620648
154.350918,131,805.515598
84.55704,131,806.426904
215.204332,131,807.38395
206.563646,131,808.31336
210.402955,131,809.273916
211.119586,131,810.255935
146.817873,131,811.218741
142.059432,131,812.208644
208.206066,131,813.148729
164.697325,131,814.097877
219.228854,131,815.022879
72.160538,131,815.970359
210.493367,131,816.940603
35.84632,131,817.870484
111.11852,131,818.858239
122.927245,131,819.787871
192.022295,131,831.812752
193.677962,131,832.788108
213.407351,131,833.717627
109.538042,131,834.647878
128.492471,131,835.516443
115.201204,131,836.403021
87.493022,131,837.345734
121.548871,131,838.253617
187.371667,131,839.132192
163.08628,131,840.024865
173.355399,131,840.935706
216.92525,131,841.876544
146.773785,131,842.754577
201.820622,131,843.660058
182.750938,131,844.599274
185.898077,131,845.542771
104.214627,125,846.385507
189.593714,131,847.319801
199.779822,131,848.175426
110.938118,131,849.136585
98.243056,131,850.046364
186.21079,131,850.904019
199.398586,131,851.833238
212.411713,131,852.71917
223.357116,131,853.588102
205.878882,131,854.531423
209.658865,131,855.391948
180.589595,131,856.292064
175.110644,131,857.213075
196.058887,131,858.181294
204.780631,131,859.122547
186.796988,131,870.607996
-37.213192,131,871.551116
47.713401,131,872.483594
152.720856,131,873.383414
61.900644,131,874.281047
173.191045,131,875.20828
93.13769,131,876.118607
107.807126,131,877.025509
-51.635728,131,877.929975
54.224941,131,878.79113
86.443139,131,879.672229
8.237614,131,880.584123
218.427276,131,881.514885
7.728504,131,882.426124
118.091982,131,883.337399
89.504202,131,884.262248
-53.9719,131,885.164498
102.732704,131,886.109886
145.621952,131,887.05531
60.274394,131,887.977127
17.70365,131,888.879214
107.318524,131,889.836833
124.335149,131,890.785426
158.358995,131,891.741351
60.981609,131,892.649883
32.038555,131,893.52285
151.780325,131,894.440424
193.421723,131,895.332791
172.284116,131,896.259083
179.270411,131,897.179528
12.221474,131,898.099221
85.589575,131,911.794327
206.359403,131,912.773033
162.020635,131,913.731138
146.5737,131,914.689189
81.634877,131,915.683518
127.525002,131,916.640826
140.064407,131,917.612013
192.056167,131,918.519962
196.896069,131,919.47587
189.900514,131,920.397051
98.907868,131,921.38537
220.920068,131,922.35674
94.788738,131,923.349706
179.583583,131,924.26146
146.75939,131,925.196622
141.020175,131,926.183441
186.354179,131,927.200683
169.705899,131,928.183671
115.112439,131,929.107611
213.917837,131,929.995914
130.889305,131,931.034055
176.692896,131,932.126289
146.55308,131,933.027397
212.437567,131,933.944443
-85.624239,131,934.861907
180.35572,131,935.890878
196.365044,131,936.817383
207.463962,131,937.6945
120.493451,131,938.648097
157.552019,131,939.593721
169.61083,131,940.524556
187.227124,131,951.968124
190.596207,131,952.979303
55.632712,131,954.023229
190.350486,131,955.016282
217.507689,131,955.996547
148.703139,131,957.028706
124.429187,131,957.973994
190.175966,131,958.980625
44.277189,131,960.037791
171.38823,131,961.028971
174.479515,131,962.000102
199.63709,131,962.960941
119.149609,131,963.923743
191.865466,131,964.840941
124.896945,131,965.832435
136.462875,131,966.750327
186.028288,131,967.69679
152.654758,131,968.68475
146.71338,131,969.703586
185.720889,131,970.685158
117.172844,131,971.610924
188.81176,131,972.481355
202.951138,131,973.417959
176.62617,131,974.339304
64.633655,131,975.252046
186.432557,131,976.222258
186.714908,131,977.149697
205.726102,131,978.055986
197.879713,131,978.94073
199.470995,131,979.817926
123.591197,131,980.739006
212.929372,131,981.624639
175.221493,131,993.225514
111.260681,131,994.110342
131.772553,131,995.128298
110.500103,131,996.091087
155.913391,131,997.023704
213.996718,131,997.928367
207.267801,131,998.81549
160.095918,131,999.69311
186.703695,131,1000.565037
168.750953,131,1001.482243
163.54847,131,1002.379128
189.598614,131,1003.28132
164.667785,131,1004.216914
210.769343,131,1005.095937
125.442626,131,1005.997764
184.656424,131,1006.834263
133.020086,131,1007.70242
112.128934,131,1008.624653
104.015479,131,1009.511742
187.122643,131,1010.389503
180.509373,131,1011.268988
199.634487,131,1012.161496
199.693931,131,1013.004976
99.206903,131,1013.877679
182.431715,131,1014.744733
187.281275,131,1015.600069
112.225544,131,1016.521784
177.05679,131,1017.460676
171.731534,131,1018.375212
82.360659,120,1019.209769
135.129836,131,1020.175237
213.129865,131,1031.552962
101.497779,124,1032.3299
114.938436,131,1033.147886
184.541274,131,1033.987849
103.689611,131,1034.851859
180.391966,131,1035.681717
199.976206,131,1036.494739
-1.14593,131,1037.288509
162.990757,131,1038.090688
212.446504,131,1038.914449
209.596132,131,1039.751153
209.327462,131,1040.581562
186.89551,131,1041.447547
156.641032,131,1042.217674
149.735124,131,1042.98961
181.115054,131,1043.759557
101.868312,131,1044.57677
121.989116,131,1045.333948
186.878269,131,1046.267795
95.526265,131,1047.05829
89.979405,131,1047.906117
95.151391,123,1048.782148
108.441515,131,1049.649013
199.238591,131,1050.524946
159.768126,131,1051.38899
217.780979,131,1052.284749
40.914891,131,1053.140528
135.543632,131,1053.993079
174.557855,131,1054.838618
175.424748,131,1055.79504
59.891604,113,1056.593096
126.926265,131,1057.454848
161.881861,131,1068.640218
97.619047,131,1069.562393
200.127243,131,1070.440899
189.383765,131,1071.37709
103.559792,131,1072.292753
154.555426,131,1073.224672
206.941642,131,1074.167162
183.755498,131,1075.069869
200.187186,131,1075.985311
218.377378,131,1076.897196
170.872903,131,1077.881329
143.030051,131,1078.915776
175.921385,131,1079.909065
187.090077,131,1080.866679
63.933808,131,1081.860671
186.21017,131,1082.745301
146.402226,131,1083.684391
150.787485,131,1084.576254
187.603107,131,1085.585113
110.793695,131,1086.582855
207.081126,131,1087.579323
212.260107,131,1088.581964
197.735,131,1089.55519
187.300336,131,1090.489405
98.786983,131,1091.451782
180.777045,131,1092.388677
165.580133,131,1093.277389
161.300029,131,1094.193015
129.309875,131,1095.142574
105.364809,131,1096.033895
137.115463,131,1096.988525
134.107915,131,1111.661396
102.92834,131,1112.660592
197.260191,131,1113.619894
148.718838,131,1114.560281
203.504244,131,1115.510516
42.431209,131,1116.425345
213.147274,131,1117.323342
199.785178,131,1118.21142
85.07254,131,1119.06864
99.650079,131,1119.86331
155.75665,131,1120.669846
150.253619,131,1121.495229
199.311183,131,1122.333795
168.573464,131,1123.113867
143.463654,131,1124.052217
117.155366,131,1124.828715
181.557557,131,1125.629053
49.913385,131,1126.439451
141.695289,131,1127.348611
206.823182,131,1128.244679
165.889782,131,1129.037081
56.963545,131,1129.878204
137.858288,131,1130.747513
133.240212,131,1131.628532
165.541081,131,1132.469908
185.616656,131,1133.330543
163.947311,131,1134.185707
116.571966,131,1135.064016
151.787871,131,1135.932851
87.090351,131,1136.821326
186.717281,131,1137.675882
180.784608,131,1149.143614
144.105499,131,1150.00996
167.241932,131,1150.872297
33.443037,131,1151.769263
99.519059,131,1152.66157
181.627267,131,1153.571855
128.066787,131,1154.494653
24.047165,102,1155.20131
78.699095,131,1156.064427
102.09835,131,1156.941495
181.373032,131,1157.796893
87.523935,131,1158.653176
210.28172,131,1159.476605
217.898809,131,1160.361
206.999927,131,1161.191204
177.090391,131,1161.993249
177.024703,131,1162.843363
171.469835,131,1163.8385
180.951459,131,1164.678314
210.045445,131,1165.59991
63.670058,131,1166.540383
125.353022,131,1167.352563
182.12741,131,1168.252692
22.182362,131,1169.138837
164.494646,131,1170.003052
187.369167,131,1170.889807
157.464172,131,1171.747106
182.769021,131,1172.713527
128.959695,131,1173.645806
187.042827,131,1174.533898
186.529252,131,1175.48424
187.425405,131,1176.405302
146.307284,131,1188.076439
153.491106,131,1188.925457
128.318062,131,1189.756631
136.62709,131,1190.596797
174.691916,131,1191.440634
211.723468,131,1192.251509
156.904069,131,1193.033642
210.993462,131,1193.862464
160.184728,131,1194.668396
190.805471,131,1195.511731
117.420812,131,1196.367545
197.715076,131,1197.154465
212.123679,131,1197.980234
187.248893,131,1198.795683
177.627686,131,1199.589588
186.846836,131,1200.411659
176.723131,131,1201.230631
199.706127,131,1202.052016
186.450544,131,1202.896325
107.129142,131,1203.748503
199.354578,131,1204.580806
212.992997,131,1205.444781
145.267212,131,1206.320461
204.971676,131,1207.234882
141.423548,131,1208.184192
199.797559,131,1209.060645
42.334519,131,1209.935254
225.789081,131,1210.808613
187.102338,131,1211.714728
206.481418,131,1212.641269
211.687706,131,1213.505647
84.528426,131,1225.077986
169.001331,131,1225.959925
159.550288,131,1226.989451
183.659424,131,1227.922287
211.110911,131,1228.878444
113.232188,131,1229.80147
163.60632,131,1230.694442
154.69365,131,1231.642244
185.406197,131,1232.540585
74.865806,131,1233.478142
199.78552,131,1234.366669
161.036507,131,1235.276444
58.591483,131,1236.180223
186.52747,131,1237.075674
129.437802,131,1237.999114
210.116076,131,1238.967729
101.234339,131,1239.908964
108.137696,131,1240.874153
182.808082,131,1241.789132
212.54866,131,1242.723803
128.524405,131,1243.624801
212.178462,131,1244.527959
112.879736,131,1245.467962
144.436296,131,1246.360204
106.632318,131,1247.289442
185.820222,131,1248.177691
154.131879,131,1249.068521
198.795584,131,1250.043543
118.731083,131,1250.949898
130.416465,131,1251.870943
195.751287,131,1252.863973
116.461451,131,1265.170849
204.638604,131,1266.014515
168.827225,131,1266.880282
199.409892,131,1267.746264
180.492683,131,1268.587398
88.921105,131,1269.453193
84.186585,131,1270.394738
186.606404,131,1271.330434
112.08131,131,1272.258599
181.144542,131,1273.170656
149.650064,131,1274.093142
62.009593,131,1274.998165
62.392402,131,1275.936728
91.853173,131,1276.851277
190.375697,131,1277.718448
188.746269,131,1278.595777
204.693477,131,1279.475643
144.208903,131,1280.38735
142.697374,131,1281.288337
77.814026,131,1282.178653
133.009847,131,1283.074472
129.574827,131,1283.954242
199.646521,131,1284.89
149.63413,131,1285.8709
165.357869,131,1286.784902
199.639951,131,1287.721905
162.577196,131,1288.659564
199.229608,131,1289.524026
75.711425,131,1290.468075
170.712657,131,1291.375158
73.985132,131,1292.346473
89.339033,131,1306.622019
104.149714,131,1307.543203
205.356855,131,1308.452097
204.967436,131,1309.353827
154.775898,131,1310.279462
116.252463,131,1311.188967
124.616562,131,1312.083513
190.933188,131,1312.987708
219.761909,131,1313.913175
213.104247,131,1314.819797
199.637238,131,1315.732225
116.212987,131,1316.625174
212.505954,131,1317.43029
165.907183,131,1318.277871
120.116266,131,1319.163595
95.795098,120,1319.976124
149.254207,131,1320.825558
68.170709,131,1321.709193
199.805659,131,1322.593833
162.815486,131,1323.455236
165.6343,131,1324.342008
199.797115,131,1325.192729
199.653798,131,1326.034341
157.404459,131,1326.897056
211.686856,131,1327.738236
88.831822,131,1328.867388
187.406208,131,1329.757191
160.075112,131,1330.583543
126.22689,131,1331.4916
210.434887,131,1332.351844
170.800558,131,1333.178271
188.683834,131,1334.102357
118.568074,131,1345.4471
218.006355,131,1346.316871
168.059628,131,1347.199366
198.185673,131,1348.037678
131.403773,131,1348.907146
-38.732309,131,1349.741462
193.599642,131,1350.680142
77.279498,131,1351.542787
