
Episode 1:
Step 0: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 1: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 2: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 3: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 4: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 5: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 6: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 7: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 8: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 9: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 10: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 11: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 12: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 13: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 14: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 15: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 16: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 17: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 18: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 19: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 20: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 21: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 22: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 23: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 24: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 25: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 26: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 27: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 28: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 29: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 30: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 31: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 32: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 33: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 34: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 35: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 36: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 37: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 38: Action: [0], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 39: Action: [1], Reward: [0.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 40: Action: [1], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 41: Action: [0], Reward: [-25.], Dry Yield: 0.0, Total Irrigation: 0.0
Step 42: Action: [1], Reward: [-50.], Dry Yield: 0.0, Total Irrigation: 0.0
